start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
A,A,32.25,133.05,0,0,32.20946,133.026,0.2357693,0.2347796,True,32.27095,133.0547,0.1604265,0.1975079,No response,N/A,
A,A,61.94855,131.925,0,0,61.89679,131.9452,0.1014975,0.0413525,True,61.88031,131.9387,0.2266159,0.1044543,Right,3.546313,
A,B,97.78418,133.4407,0,0,97.87704,133.4376,0.08108237,-0.1087434,True,97.84998,133.4492,0.2675469,-0.2789344,Right,1.010397,
B,A,110.7806,135.1682,0,0,110.834,135.0891,0.004174809,-0.1643621,True,110.7712,136.0301,-0.3109585,0.08006885,No response,N/A,
A,B,67.88569,133.8195,0,0,68.06134,133.7905,0.09988302,-0.1687072,True,68.01874,133.8371,0.1360196,-0.1721381,No response,N/A,
A,B,22.11823,132.2694,0,0,20.69642,130.9951,0.2776878,0.06577965,True,22.06861,132.2411,-0.1092724,-0.004071255,No response,N/A,
B,A,38.875,134.9986,0,0,37.84443,133.4505,0.08444136,-0.1068049,True,38.88048,134.9795,0.0225828,-0.1063952,No response,N/A,
A,A,49.2194,130.9318,0,0,48.02357,132.3345,0.1177904,-0.07021455,True,49.27676,131.0837,0.009363389,0.02521157,Right,1.768534,
B,B,92.11431,132.2805,0,0,91.89989,134.1181,0.08204403,0.1296732,True,92.09171,132.186,0.1351748,0.1065948,Right,1.153493,
A,A,79.2194,130.9318,0,0,77.87117,132.3844,0.132695,-0.07085326,True,79.24142,130.9846,0.367588,-0.06440828,No response,N/A,
